category,file,title,description,new,status,link,failure_reason,andrew_id
clusters-eth,cl-gap.test.ts,CL-041: Withdraw from active 10-op cluster with explicit EB,Withdraw from active 10-op cluster with explicit EB,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L566,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-054: Withdraw amount > post-settlement balance reverts even if <= stale balance,Withdraw amount > post-settlement balance reverts even if <= stale balance,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L617,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-055: Withdraw 0 reverts if post-settlement balance is below liquidation threshold,Withdraw 0 reverts if post-settlement balance is below liquidation threshold,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L648,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-042: Deposit+withdraw with all operators removed — zero burn rate,Deposit+withdraw with all operators removed — zero burn rate,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L687,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,"CL-048: Deposit, EB update, then withdraw — higher threshold blocks withdrawal","Deposit, EB update, then withdraw — higher threshold blocks withdrawal",yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L727,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-049: Deposit overflow edge — repeated large deposits accumulate correctly,Deposit overflow edge — repeated large deposits accumulate correctly,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L801,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-050: Withdraw from migrated cluster (SSV→ETH) with explicit EB,Withdraw from migrated cluster (SSV→ETH) with explicit EB,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L835,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-051/CL-057: Dual-existence revert — deposit on SSV cluster with ETH cluster hash guard,CL-051/CL-057: Dual-existence revert — deposit on SSV cluster with ETH cluster hash guard,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L927,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-052: Withdraw reverts ETHTransferFailed when owner contract rejects ETH,Withdraw reverts ETHTransferFailed when owner contract rejects ETH,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L977,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cluster-conservation.test.ts,"Maintains ETH conservation across deposits, withdrawals, liquidations, and operator withdrawals","Maintains ETH conservation across deposits, withdrawals, liquidations, and operator withdrawals",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-conservation.test.ts#L43,,A-INV-01
clusters-eth,cluster-eth-eb.test.ts,Fees use old vUnits before EB update and new vUnits after,Fees use old vUnits before EB update and new vUnits after,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-eb.test.ts#L72,,
clusters-eth,cluster-eth-eb.test.ts,migration syncs EB deviation to operators and DAO,Migration syncs EB deviation to operators and DAO,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-eb.test.ts#L225,,
clusters-eth,cluster-eth-edge.test.ts,"Allows full withdrawal from cluster with 0 validators, skipping liquidation check","Allows full withdrawal from cluster with 0 validators, skipping liquidation check",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-edge.test.ts#L61,,A-ACT-09; A-LIQ-01; A-PREC-01
clusters-eth,cluster-eth-edge.test.ts,Restores EB deviation to operators and DAO on reactivation,Restores EB deviation to operators and DAO on reactivation,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-edge.test.ts#L141,,A-ACT-09; A-LIQ-01; A-PREC-01
clusters-eth,cluster-eth-edge.test.ts,Correctly computes fees over two withdrawals without updating operator snapshots,Correctly computes fees over two withdrawals without updating operator snapshots,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-edge.test.ts#L216,,A-ACT-09; A-LIQ-01; A-PREC-01
clusters-eth,cluster-eth-edge.test.ts,Reverts when setting operator ETH fee not divisible by ETH_DEDUCTED_DIGITS,Reverts when setting operator ETH fee not divisible by ETH_DEDUCTED_DIGITS,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-edge.test.ts#L293,,A-ACT-09; A-LIQ-01; A-PREC-01
clusters-eth,cluster-eth-edge.test.ts,Accepts operator ETH fee divisible by ETH_DEDUCTED_DIGITS,Accepts operator ETH fee divisible by ETH_DEDUCTED_DIGITS,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-edge.test.ts#L307,,A-ACT-09; A-LIQ-01; A-PREC-01
clusters-eth,cluster-eth-edge.test.ts,Allows deposit/withdraw of amounts not divisible by ETH_DEDUCTED_DIGITS,Allows deposit/withdraw of amounts not divisible by ETH_DEDUCTED_DIGITS,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-edge.test.ts#L320,,A-ACT-09; A-LIQ-01; A-PREC-01
clusters-eth,cluster-eth-edge.test.ts,"Bounty equals post-settlement balance, not original balance","Bounty equals post-settlement balance, not original balance",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-edge.test.ts#L377,,A-ACT-09; A-LIQ-01; A-PREC-01
clusters-eth,cluster-eth-lifecycle.test.ts,"Creates cluster, deposits, advances blocks, withdraws with correct fee deduction","Creates cluster, deposits, advances blocks, withdraws with correct fee deduction",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L60,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,Deposit at same block as registration — no fee settlement (edge),Deposit at same block as registration — no fee settlement (edge),no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L113,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,Multiple deposits accumulate without fee settlement (edge),Multiple deposits accumulate without fee settlement (edge),no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L132,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,Allows withdraw to exact threshold but rejects 1 more wei,Allows withdraw to exact threshold but rejects 1 more wei,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L163,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,ValidatorCount == 0 allows full withdrawal (edge),ValidatorCount == 0 allows full withdrawal (edge),no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L208,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,"Liquidates cluster after balance drops below threshold, liquidator receives bounty","Liquidates cluster after balance drops below threshold, liquidator receives bounty",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L250,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,Owner can always self-liquidate regardless of balance (edge),Owner can always self-liquidate regardless of balance (edge),no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L332,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,Full lifecycle: create → liquidate → reactivate → verify fee accrual from reactivation point,Full lifecycle: create → liquidate → reactivate → verify fee accrual from reactivation point,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L373,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-lifecycle.test.ts,"Deposits into liquidated cluster accumulate, reactivation uses sum","Deposits into liquidated cluster accumulate, reactivation uses sum",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-lifecycle.test.ts#L448,,A-ACT-08; A-ACT-09; A-CHECK-03; A-TEAR-01
clusters-eth,cluster-eth-liquidation.test.ts,"Balance == threshold is NOT liquidatable, balance < threshold IS","Balance == threshold is NOT liquidatable, balance < threshold IS",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-liquidation.test.ts#L104,,A-ACT-11; A-ACT-41; A-CHECK-02; A-LIQ-01
clusters-eth,cluster-eth-liquidation.test.ts,Liquidation reverses EB deviation from operators and DAO,Liquidation reverses EB deviation from operators and DAO,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-liquidation.test.ts#L162,,A-ACT-11; A-ACT-41; A-CHECK-02; A-LIQ-01
clusters-eth,cluster-eth-liquidation.test.ts,"EB increase triggers auto-liquidation, bounty goes to updater","EB increase triggers auto-liquidation, bounty goes to updater",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-eth-liquidation.test.ts#L254,,A-ACT-11; A-ACT-41; A-CHECK-02; A-LIQ-01
clusters-eth,cluster-reverts.test.ts,Third-party liquidation at exact threshold reverts with ClusterNotLiquidatable,Third-party liquidation at exact threshold reverts with ClusterNotLiquidatable,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-reverts.test.ts#L51,,A-ACT-11; A-BOUND-16; A-CHECK-02
clusters-eth,cluster-reverts.test.ts,Self-liquidation at exact threshold succeeds (owner bypass),Self-liquidation at exact threshold succeeds (owner bypass),no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-reverts.test.ts#L96,,A-ACT-11; A-BOUND-16; A-CHECK-02
clusters-eth,cluster-reverts.test.ts,Third-party liquidation at threshold - 1 wei succeeds,Third-party liquidation at threshold - 1 wei succeeds,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cluster-reverts.test.ts#L142,,A-ACT-11; A-BOUND-16; A-CHECK-02
clusters-eth,lq-gap.test.ts,updateClusterBalance does NOT auto-liquidate a cluster with validatorCount = 0,UpdateClusterBalance does NOT auto-liquidate a cluster with validatorCount = 0,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L238,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,SSV cluster liquidatable when balance above burn-rate threshold but below collateral floor,SSV cluster liquidatable when balance above burn-rate threshold but below collateral floor,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L314,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Third-party SSV liquidation reverts ClusterNotLiquidatable for validatorCount = 0,Third-party SSV liquidation reverts ClusterNotLiquidatable for validatorCount = 0,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L365,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,${scenarioId}: Reactivate with ${numOps} operators — all operators updated,...: Reactivate with ... operators — all operators updated,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L387,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,"Removed operator skipped on reactivation — no ethValidatorCount increment, fee excluded","Removed operator skipped on reactivation — no ethValidatorCount increment, fee excluded",yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L445,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,All operators skipped — cluster reactivates with zero burn rate,All operators skipped — cluster reactivates with zero burn rate,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L505,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Cluster balance = reactivation msg.value + deposit msg.value after fees,Cluster balance = reactivation msg.value + deposit msg.value after fees,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L560,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,"Reactivates with stale EB=32, then updateClusterBalance with EB=64 triggers auto-liquidation","Reactivates with stale EB=32, then updateClusterBalance with EB=64 triggers auto-liquidation",yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L615,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,"Reactivates with stale EB=64, actual EB drops to 32 — overfunded but succeeds","Reactivates with stale EB=64, actual EB drops to 32 — overfunded but succeeds",yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L686,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,"Deviation added only to active operators' operatorEthVUnits, not removed op","Deviation added only to active operators' operatorEthVUnits, not removed op",yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L748,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Reverts ExceedValidatorLimitWithData when reactivation would exceed operator limit,Reverts ExceedValidatorLimitWithData when reactivation would exceed operator limit,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L825,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Reactivated cluster with clusterDeviation=0 while DAO deviation is non-zero from another cluster,Reactivated cluster with clusterDeviation=0 while DAO deviation is non-zero from another cluster,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L879,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Both clusters have deviation — reactivation adds cluster deviation to operators additively,Both clusters have deviation — reactivation adds cluster deviation to operators additively,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L951,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Reactivation in same block as liquidation skips snapshot/index/balance accrual,Reactivation in same block as liquidation skips snapshot/index/balance accrual,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L1036,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Each operator's ethValidatorCount is 0 after liquidating a 5-validator cluster,Each operator's ethValidatorCount is 0 after liquidating a 5-validator cluster,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L1084,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Reverts ClusterNotLiquidatable when third party tries to liquidate cluster with validatorCount=0,Reverts ClusterNotLiquidatable when third party tries to liquidate cluster with validatorCount=0,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L1123,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Owner can self-liquidate a cluster with validatorCount=0,Owner can self-liquidate a cluster with validatorCount=0,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L1148,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,daoTotalEthVUnits and ethDaoValidatorCount decremented by 10 after liquidation,DaoTotalEthVUnits and ethDaoValidatorCount decremented by 10 after liquidation,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L1178,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-eth,lq-gap.test.ts,Reentrant call to reactivate() during withdraw() is blocked by nonReentrant,Reentrant call to reactivate() during withdraw() is blocked by nonReentrant,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/lq-gap.test.ts#L1222,,A-ACT-10; A-ACT-11; A-BATCH-03; A-BOUND-10; A-CHECK-02
clusters-ssv,cluster-ssv-fees.test.ts,Verifies exact SSV fee deduction after 500 blocks with 3 validators,Verifies exact SSV fee deduction after 500 blocks with 3 validators,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-ssv/cluster-ssv-fees.test.ts#L104,,A-ACT-15; A-ACT-16; A-CHECK-08
clusters-ssv,cluster-ssv-fees.test.ts,"Only updates EB snapshot on SSV cluster, no fee settlement","Only updates EB snapshot on SSV cluster, no fee settlement",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-ssv/cluster-ssv-fees.test.ts#L189,,A-ACT-15; A-ACT-16; A-CHECK-08
clusters-ssv,cluster-ssv-legacy.test.ts,Self-liquidation returns correct SSV balance after fee deduction,Self-liquidation returns correct SSV balance after fee deduction,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-ssv/cluster-ssv-legacy.test.ts#L114,,A-ACT-14; A-ACT-16; A-ACT-17; A-BOUND-11; A-BOUND-12; A-CHECK-06; A-SETUP-07; A-SSV-01
clusters-ssv,cluster-ssv-legacy.test.ts,SSV cluster with near-zero balance — self-liquidation returns 0 SSV (edge),SSV cluster with near-zero balance — self-liquidation returns 0 SSV (edge),no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-ssv/cluster-ssv-legacy.test.ts#L157,,A-ACT-14; A-ACT-16; A-ACT-17; A-BOUND-11; A-BOUND-12; A-CHECK-06; A-SETUP-07; A-SSV-01
clusters-ssv,cluster-ssv-legacy.test.ts,Already liquidated SSV cluster reverts (edge),Already liquidated SSV cluster reverts (edge),no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-ssv/cluster-ssv-legacy.test.ts#L179,,A-ACT-14; A-ACT-16; A-ACT-17; A-BOUND-11; A-BOUND-12; A-CHECK-06; A-SETUP-07; A-SSV-01
clusters-ssv,cluster-ssv-legacy.test.ts,ETH operations revert with IncorrectClusterVersion on SSV cluster,ETH operations revert with IncorrectClusterVersion on SSV cluster,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-ssv/cluster-ssv-legacy.test.ts#L201,,A-ACT-14; A-ACT-16; A-ACT-17; A-BOUND-11; A-BOUND-12; A-CHECK-06; A-SETUP-07; A-SSV-01
clusters-ssv,cluster-ssv-legacy.test.ts,migrateClusterToETH succeeds on SSV cluster,MigrateClusterToETH succeeds on SSV cluster,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-ssv/cluster-ssv-legacy.test.ts#L247,,A-ACT-14; A-ACT-16; A-ACT-17; A-BOUND-11; A-BOUND-12; A-CHECK-06; A-SETUP-07; A-SSV-01
cross-cutting,economics.test.ts,"conservation holds after every step (deposit, register, advance, withdraw, operator withdrawal)","Conservation holds after every step (deposit, register, advance, withdraw, operator withdrawal)",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/cross-cutting/economics.test.ts#L48,,A-CHECK-20; A-INV-01
cross-cutting,economics.test.ts,"Produces exact operator earnings, cluster balance, and DAO earnings after 100 blocks","Produces exact operator earnings, cluster balance, and DAO earnings after 100 blocks",no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/cross-cutting/economics.test.ts#L139,,A-CHECK-20; A-INV-01
cross-cutting,economics.test.ts,Correctly accumulates vUnit deviations and adjusts earnings after liquidation,Correctly accumulates vUnit deviations and adjusts earnings after liquidation,no,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/cross-cutting/economics.test.ts#L211,,A-CHECK-20; A-INV-01
